filename	au-name	title	au-gender	firsted-yr	printSource-yr	form
Anonym_Suzon	Anonym	Mémoires de Suzon, soeur de Dom Bougre	X	1778	1778	autodiegetic
Anonyme_Zoloe	Anonym	Zoloé et ses deux acolythes	U	1800	1800	heterodiegetic
Beauharnais_Lettres	Fanny de Beauharnais	Lettres de Stéphanie, roman historique	F	1778	1778	epistolary
Beaumont_Clarice	Leprince de Beaumont, Jeanne-Marie	La nouvelle Clarice, histoire véritable 	F	1767	1767	epistolary
Beckford_Vathek	William Beckford	Vathek: conte arabe	M	1787	1787	heterodiegetic
Bernardin_Paul	Jacques Henri Bernardin de Saint-Pierre	Paul et Virginie:MiMoText edition	M	1787	1787	homodiegetic
Charriere_Lausanne	Charrière	Lettres écrites de Lausanne	F	1785	1785	autodiegetic
Diderot_Jacques	Denis Diderot	Jacques le fataliste et son maître	M	1778-1780	1780	dialogue novel
Dorat_Sacrifices	Claude-Joseph Dorat	Les Sacrifices de l’amour	M	1771	1771	epistolary
Louvet_Fin	Louvet de Couvrai	La Fin des amours de Faublas	M	1790	1884	autodiegetic
Reveroni_Pauliska	Révéroni Saint-Cyr	Pauliska ou la Perversité moderne	M	1798	1798	autodiegetic
Sade_Aline	Donatien de Sade	Aline et Valcour ou le roman philosophique	M	NA	1795	epistolary
Senac_Emigre	Gabriel Sénac de Meilhan	L’Émigré	M	NA	1797	epistolary
Tiphaigne_Galligenes2	Tiphaigne de La Roche	Histoire des Galligènes	M	1765	1765	heterodiegetic
